site_name,geonames_id,latitude,longitude,Rischio_Alluvione,Rischio_Terremoto,artresearch_match,match_score,match_place,documentato,documentato_realmente
Catacombe di San Senatore,,41.7231167,12.6639045,Basso,Elevato,,0,,False,False
Catacombe di San Zotico,,41.850465,12.667922,Basso,Elevato,,0,,False,False
Catacombe di Sant'Alessandro,,41.96218889,12.59380278,Basso,Medio,,0,,False,False
Barco Borghese,,41.815737,12.689823,Basso,Elevato,,0,,False,False
Catacomba di San Castulo,,41.886014,12.525928,Basso,Medio,,0,,False,False
Area archeologica di Santa Venera al Pozzo,,37.582569444444,15.153866666667,Basso,Elevato,,0,,False,False
Catacombe di Vigna Randanini,,41.8568,12.5185,Basso,Medio,,0,,False,False
area archeologica di Notarchirico,,40.968636741273,15.888316587983,Basso,Elevato,,0,,False,False
Biblioteca di papa Agapito I,,41.88625833,12.49141111,Basso,Medio,,0,,False,False
Catacomba di Novaziano,,41.903222,12.519417,Basso,Medio,,0,,False,False
Catacomba di Aproniano,,41.8727,12.5163,Basso,Medio,,0,,False,False
Catacombe di via Anapo,,41.9264,12.5062,Basso,Medio,,0,,False,False
Cava Lazzaro,,36.837562,14.903244,Basso,Elevato,,0,,False,False
Ausona,,41.357025,13.750744,Basso,Medio,,0,,False,False
Cave di Cusa,,37.61944444,12.7225,Basso,Medio,"Cave di Cusa, Selinunte di Castelvetrano",100,Selinunte di Castelvetrano,True,True
Catacomba di Sant'Ippolito,,41.907611,12.519861,Basso,Medio,,0,,False,False
Catacomba di Trasone,,41.920258,12.49901,Basso,Medio,,0,,False,False
Area archeologica di Monte Torto,,43.49237,13.39079,Basso,Elevato,,0,,False,False
Catacomba maggiore,,41.922780555556,12.518611111111,Basso,Medio,,0,,False,False
Cantiere navale romano di Stifone,,42.497735,12.492468,Elevato,Medio,,0,,False,False
Catacombe di San Gaudioso,,40.8599,14.249,Basso,Elevato,,0,,False,False
Catacomba di Sant'Ilaria,,41.924278,12.503611,Basso,Medio,,0,,False,False
Capanne del Palatino,,41.88917222,12.484925,Basso,Medio,,0,,False,False
casa protostorica di Fidene,,41.9785,12.5123,Basso,Basso,,0,,False,False
Catacomba della Nunziatella,,41.836333,12.509861,Basso,Elevato,,0,,False,False
Aula Isiaca,,41.8893,12.4868,Basso,Medio,,0,,False,False
Catacomba di San Pancrazio,,41.885,12.454,Basso,Medio,,0,,False,False
Bagni di Nerone,,43.72229,10.40195,Elevato,Medio,"Bagni di Nerone, Pisa",100,Pisa,True,True
Catacombe di Pretestato,,41.8588,12.5153,Basso,Medio,,0,,False,False
Catacombe di Santa Felicita,,41.917869,12.497285,Basso,Medio,,0,,False,False
Catacomba di Ponziano,,41.877506,12.463049,Basso,Medio,,0,,False,False
Marruvium,,42.0065,13.6276,Basso,Elevato,,0,,False,False
area archeologica di San Pietro degli Schiavoni,,40.6390897,17.9447511,Basso,Basso,,0,,False,False
Brixia,,45.539166666667,10.225833333333,Basso,Elevato,,0,,False,False
Catacomba dei Santi Processo e Martiniano,,41.886742,12.456312,Basso,Medio,,0,,False,False
Catacomba dei Santi Marco e Marcelliano,,41.861027,12.5096,Basso,Medio,,0,,False,False
Cava di Purcarel,,45.42472222,8.05444444,Basso,Basso,,0,,False,False
Aufidena,,41.784299,14.108223,Basso,Elevato,,0,,False,False
Catacomba di Santa Mustiola,,43.022379164415,11.959930038237,Basso,Medio,,0,,False,False
Area dei templi dello Scoglietto,,42.6731,11.0511,Basso,Basso,,0,,False,False
Area archeologica etrusco-sannitica di Fratte,,40.6981,14.7776,Basso,Medio,,0,,False,False
catacombe di Commodilla,,41.861167,12.483472,Basso,Medio,,0,,False,False
Augusta Bagiennorum,,44.559186,7.854843,Basso,Basso,,0,,False,False
Boira Fusca,,45.409388888889,7.6268611111111,Basso,Basso,,0,,False,False
battistero paleocristiano di Santa Maria Maggiore,,40.74238333,14.66824722,Medio,Medio,,0,,False,False
Cava dei Servi,,36.944479,14.839528,Basso,Elevato,,0,,False,False
Catacomba di Sant'Agnese,,41.92277778,12.51861111,Basso,Medio,,0,,False,False
Argimusco,,37.98803,15.042778,Basso,Elevato,,0,,False,False
catacombe di San Gennaro,,40.86418,14.247624,Basso,Elevato,,0,,False,False
Catacomba di Sant'Ermete,,41.923024866448,12.488319405765,Basso,Medio,,0,,False,False
Castiglione,,36.950552777778,14.650208333333,Basso,Elevato,,0,,False,False
Catacomba di Balbina,,41.861395,12.506242,Basso,Medio,,0,,False,False
Case a giardino,,41.751884216963,12.284577135211,Basso,Basso,,0,,False,False
Catacomba di Santa Tecla,,41.851389,12.478861,Basso,Elevato,,0,,False,False
Catacomba di Santa Caterina d'Alessandria,,43.0060903,11.9528958,Elevato,Medio,,0,,False,False
Catacomba di San Panfilo,,41.918419,12.493559,Basso,Medio,,0,,False,False
Cava a filo,,44.4428267,11.3798385,Basso,Elevato,,0,,False,False
Caserma dei Vigili della città riomana di Ostia,,41.757,12.292,Basso,Basso,,0,,False,False
Case romane del Celio,,41.8864,12.492,Basso,Medio,,0,,False,False
Catacomba di San Nicomede,,41.910889,12.507861,Basso,Medio,,0,,False,False
Allifae,,41.325511,14.334859,Basso,Elevato,,0,,False,False
Castrum Inui,,41.580061111111,12.511169444444,Basso,Medio,,0,,False,False
Casa sannitica,,40.8061,14.3474,Basso,Elevato,"Casa Sannitica, Herkulaneum",100,Herkulaneum,True,False
Catacomba di San Valentino,,41.924625,12.47286,Basso,Medio,,0,,False,False
Bagni greci di Gela,,37.072611111111,14.230444444444,Basso,Medio,,0,,False,False
Catacomba dei Santi Gordiano ed Epimaco,,41.874583,12.506583,Basso,Medio,,0,,False,False
Catacombe di Villa Torlonia,,41.913948435809,12.509403721724,Basso,Medio,,0,,False,False
Catacomba di San Lorenzo,,41.902817654283,12.521067579034,Basso,Medio,,0,,False,False
Catacombe di Ad Decimum,,41.8029531,12.6388251,Basso,Elevato,,0,,False,False
Auditorium di Mecenate,,41.894,12.5014,Basso,Medio,,0,,False,False
Aternum,,42.460052222222,14.212194166667,Medio,Medio,,0,,False,False
Catacombe di Generosa,,41.836122,12.432818,Basso,Medio,,0,,False,False
Casa dei Grifi,,41.889,12.4873,Basso,Medio,,0,,False,False
area Archeologica di Poggio del Molino,,43.014638888889,10.515527777778,Basso,Basso,,0,,False,False
Castellammare della Bruca,3179660.0,40.15,15.18333333,Basso,Basso,,0,,False,False
Atrium Libertatis,,41.895066,12.483805,Basso,Medio,,0,,False,False
Casal Ninfeo,,41.874374,12.417173,Basso,Medio,,0,,False,False
casa del Chirurgo,,40.7516,14.4819,Basso,Medio,,0,,False,False
Capo Piccolo,,38.912127777778,17.0752,Elevato,Elevato,,0,,False,False
Capaccio Vecchio,,40.445317,15.054698,Basso,Basso,,0,,False,False
area archeologica la Fenice,,43.7123,13.2184,Basso,Elevato,,0,,False,False
Castiglione di Paludi,,39.5427475,16.69747353,Basso,Elevato,,0,,False,False
Casal Rotondo,,41.821,12.556,Basso,Elevato,"Casal Rotondo, Rom",100,Rom,True,True
Bouleuterion di Reggio Calabria,,38.11230003652,15.649910464227,Basso,Elevato,,0,,False,False
Catacombe di Sant'Antioco,,39.06961667,8.45075833,Medio,Basso,,0,,False,False
Lilibeo,,37.8,12.43333,Basso,Basso,,0,,False,False
Ipogeo dei Volumni,,43.0893,12.4244,Basso,Elevato,,0,,False,False
nuraghe Ardasai,,39.8936207,9.3391085,Basso,Basso,,0,,False,False
Arco di Scipione l'Africano,,41.892856,12.482808,Basso,Medio,,0,,False,False
nuraghe Ispiene,,40.77975,8.91627,Basso,Basso,,0,,False,False
Mitreo del Circo Massimo,,41.88811389,12.48285556,Basso,Medio,,0,,False,False
Foro Piscario,,41.8927,12.4865,Basso,Medio,,0,,False,False
Norba latina,10300667.0,41.592248,12.962333,Basso,Basso,,0,,False,False
necropoli di Mandra Antine,,40.51516667,8.62983333,Basso,Basso,,0,,False,False
Monte Sirai,,39.183334,8.483334,Basso,Basso,,0,,False,False
Insula dell'Ara Coeli,,41.8941,12.4823,Basso,Medio,,0,,False,False
dolmen di Sa Coveccada,,40.50826111,8.86669167,Basso,Basso,,0,,False,False
area archeologica di Potentia,,43.4141,13.67118,Medio,Elevato,,0,,False,False
pozzo sacro di Milis,,40.99344444,9.62847222,Basso,Basso,,0,,False,False
Hippana,,37.70305556,13.43611111,Basso,Basso,,0,,False,False
Portus,8015120.0,41.77916667,12.26666667,Basso,Basso,,0,,False,False
Basilica di Nettuno,,41.898235,12.476789,Basso,Medio,"Basilica di Nettuno, Rom",100,Rom,True,True
nuraghe Tanca Manna,,40.31144,9.324646,Basso,Basso,,0,,False,False
Basilica Argentaria,,41.894094,12.484411,Basso,Medio,,0,,False,False
necropoli di Filigosa,,40.27805556,8.76916667,Basso,Basso,,0,,False,False
Spina,,44.69305556,12.10111111,Medio,Elevato,,0,,False,False
necropoli di Moseddu,,40.48591389,8.73053056,Basso,Basso,,0,,False,False
Horti Lolliani,,41.900694,12.497861,Basso,Medio,,0,,False,False
Macellum,,40.750077,14.484728,Basso,Medio,"Macellum, Gerasa",100,Gerasa,True,False
villaggio nuragico di Serra Orrios,,40.333833333333,9.5376111111111,Basso,Basso,,0,,False,False
tempio di Zeus Olimpio,,37.2908,13.5844,Basso,Basso,,0,,False,False
area archeologica di Santa Cristina,,40.0611421,8.7309719,Basso,Basso,,0,,False,False
complesso nuragico di Lu Brandali,,41.233777777778,9.1745277777778,Basso,Basso,,0,,False,False
arco di Marco Aurelio,,41.9015,12.480472,Basso,Medio,,0,,False,False
Saepinum,7289564.0,41.433758,14.618444,Basso,Elevato,,0,,False,False
Vescia,3164496.0,41.19066,13.92925,Basso,Medio,,0,,False,False
Teatro romano di Neapolis,,40.85235375,14.25668389,Basso,Elevato,,0,,False,False
Entella,,37.774051,13.1219,Basso,Elevato,,0,,False,False
Meta Sudans,,41.89008333,12.49066667,Basso,Medio,,0,,False,False
Laos,11952436.0,39.7675,15.83055556,Basso,Elevato,,0,,False,False
Schola Armaturarum (III.3.6),,40.75166667,14.49166667,Basso,Medio,,0,,False,False
teatro romano di Spoleto,10288493.0,42.7331,12.73489,Basso,Elevato,,0,,False,False
complesso archeologico di Noddule,,40.387222222222,9.2836111111111,Basso,Basso,,0,,False,False
Tempio delle Ninfe,,41.89513611,12.47871667,Basso,Medio,,0,,False,False
nuraghe Izzana,,40.96872222,9.05951389,Basso,Basso,,0,,False,False
Terme Deciane,,41.88331,12.48433,Basso,Medio,,0,,False,False
Molpa,,40.032024,15.303995,Basso,Basso,,0,,False,False
Su Mulinu,,39.6397819,8.9998856,Basso,Basso,,0,,False,False
ara di Ierone,10344495.0,37.074405,15.27723,Basso,Elevato,,0,,False,False
Giganti di Mont'e Prama,,39.965778,8.448278,Basso,Basso,,0,,False,False
Castello d'Alceste,,40.646685,17.704167,Basso,Basso,,0,,False,False
pozzo sacro di Sant'Anastasia,,39.6166861,8.8199138,Basso,Basso,,0,,False,False
Norchia,,42.34055556,11.94305556,Basso,Medio,,0,,False,False
Porta San Giovanni,,41.88583333,12.50916667,Basso,Medio,"Porta San Giovanni, Lucignano (Arezzo)",100,Lucignano (Arezzo),True,False
necropoli di Sant'Andrea Priu,,40.42137222,8.84691667,Basso,Basso,,0,,False,False
Preneste,,41.839484,12.892308,Basso,Elevato,,0,,False,False
Tempio della Gens Flavia,,41.9019,12.4907,Basso,Medio,,0,,False,False
tomba dei giganti di Li Lolghi,,41.066701,9.333687,Basso,Basso,,0,,False,False
Monte d'Accoddi,,40.7906971,8.4489274,Basso,Basso,,0,,False,False
Porticus Margaritaria,,41.891111111111,12.487777777778,Basso,Medio,,0,,False,False
nuraghe Sa Mandra ’e sa Giua,,40.676969,8.600374,Basso,Basso,,0,,False,False
santuario nuragico di Santa Vittoria,,39.71313,9.10689,Basso,Basso,,0,,False,False
Sabucina,,37.50244,14.119363,Basso,Basso,,0,,False,False
Complesso archeologico di Pranu Muttedu,,39.567636,9.267997,Basso,Basso,,0,,False,False
tomba dei giganti di Sa Domu 'e S'Orcu,,39.6860984,8.8711487,Basso,Basso,,0,,False,False
Timpone della Motta,7910532.0,39.8078,16.3686,Basso,Elevato,,0,,False,False
nuraghe Orolio,,40.29222222,8.90194444,Basso,Basso,,0,,False,False
mitreo delle Terme di Mitra,,41.754138888889,12.285166666667,Basso,Basso,,0,,False,False
Villa romana di San Paolo,,46.46972222,11.25833333,Basso,Basso,,0,,False,False
Villa Jovis,10376261.0,40.55823,14.262628,Basso,Basso,"Villa Jovis, Capri, Isola di",100,Isola di,True,False
pozzo sacro di Sa Testa,,40.93463333,9.54611111,Basso,Basso,,0,,False,False
Satricum,,41.5131,12.7551,Basso,Medio,,0,,False,False
pozzo sacro di Predio Canopoli,,40.82861111,8.88611111,Basso,Basso,,0,,False,False
Mendolito,,37.698173,14.80656,Basso,Medio,,0,,False,False
Capo di Bove,,41.8481419,12.5209685,Basso,Elevato,,0,,False,False
Sulki,,39.066666666667,8.45,Basso,Basso,,0,,False,False
complesso archeologico di Monte Baranta,,40.631933,8.396644,Basso,Basso,,0,,False,False
Nuraghe Orgono,,40.128793,8.8583667,Basso,Basso,,0,,False,False
Horti Lamiani,,41.8945,12.5047,Basso,Medio,,0,,False,False
anfiteatro romano di Luni,,44.0626,10.0224,Basso,Medio,,0,,False,False
Arco di Augusto,,45.1361,7.04294,Basso,Medio,"Arco di Augusto, Fano",100,Fano,True,False
Villa di Patti,,38.14916667,14.97194444,Basso,Elevato,,0,,False,False
parco archeologico Passo di Corvo,,41.553032,15.611277,Basso,Elevato,,0,,False,False
Horti Maecenatis,,41.893888888889,12.501388888889,Basso,Medio,,0,,False,False
Domus Transitoria,,41.8886,12.4859,Basso,Medio,,0,,False,False
tumulo di Montecalvario,,43.4725,11.2838,Basso,Medio,,0,,False,False
Menhir di Biru 'e Concas,,40.01083,9.03156,Basso,Basso,,0,,False,False
Arco di Settimio Severo,6269255.0,41.892777777778,12.484722222222,Basso,Medio,,0,,False,False
chiesa di Sant'Aspreno al Porto,,40.84428,14.25502,Basso,Elevato,,0,,False,False
Tempio della Concordia,,41.892930555556,12.484244444444,Basso,Medio,"Tempio della Concordia, Agrigent",100,Agrigent,True,False
Fori Imperiali,,41.89444444,12.48555556,Basso,Medio,"Fori Imperiali, Rom",100,Rom,True,True
Mausoleo di Augusto,6269266.0,41.90611,12.47639,Basso,Medio,,0,,False,False
Horti Sallustiani,,41.908083333333,12.496916666667,Basso,Medio,,0,,False,False
Grotta dell'Addaura,,38.18640833,13.35306389,Basso,Elevato,,0,,False,False
Volsinii,,42.6447,11.9858,Basso,Medio,,0,,False,False
parco archeologico del Castellammare,,38.205575,13.36739167,Basso,Elevato,,0,,False,False
Domus Tiberiana,,41.89024,12.48623,Basso,Medio,,0,,False,False
Aquae Cutiliae,,42.380104,13.008757,Basso,Elevato,,0,,False,False
Juvanum,11153681.0,41.997895,14.249799,Basso,Elevato,,0,,False,False
Foro Olitorio,,41.891111111111,12.48,Basso,Medio,,0,,False,False
basilica Ulpia,,41.895556,12.484572,Basso,Medio,"Basilica Ulpia, Rom",100,Rom,True,True
Ludus Magnus,8015119.0,41.89,12.495,Basso,Medio,,0,,False,False
Regia,,41.891944444444,12.486388888889,Basso,Medio,,0,,False,False
Villa di Lucullo,,41.9065,12.4834,Basso,Medio,,0,,False,False
Aeculanum,,41.054035,15.010536,Basso,Elevato,,0,,False,False
Porta Maggiore,8015088.0,41.8914573,12.5152419,Basso,Medio,"Porta Maggiore, Rom",100,Rom,True,True
Tomba dei Leopardi,,42.2486,11.7716,Basso,Medio,,0,,False,False
Circo Massimo,6269249.0,41.8859,12.4857,Basso,Medio,"Circo Massimo, Rom",100,Rom,True,True
portico di Ottavia,,41.892436,12.478533,Basso,Medio,"Portico di Ottavia, Rom",100,Rom,True,True
Ciampate del Diavolo,,41.332533,14.024577,Basso,Medio,,0,,False,False
Plestia,,43.031177,12.90372,Basso,Elevato,,0,,False,False
Cuma,3177706.0,40.848611,14.053611,Basso,Elevato,,0,,False,False
Pompei,3170336.0,40.750556,14.489722,Basso,Medio,,0,,False,False
Villa dei Quintili,8015044.0,41.8314288,12.552482,Basso,Elevato,"Villa dei Quintili, Rom",100,Rom,True,True
Tauriana,,38.39444444,15.87138889,Basso,Elevato,,0,,False,False
Forum Novum,11847731.0,42.3306,12.6039,Basso,Elevato,,0,,False,False
Palatino,3171655.0,41.888333333333,12.486944444444,Basso,Medio,,0,,False,False
Casa delle Vestali,,41.891388888889,12.486666666667,Basso,Medio,,0,,False,False
Partenope,,40.833333,14.25,Basso,Elevato,,0,,False,False
parco archeologico del Lago dell'Accesa,,42.99078889,10.90422778,Basso,Basso,,0,,False,False
Praedia di Giulia Felice,,40.7519,14.4933,Basso,Medio,,0,,False,False
sinagoga di Ostia Antica,,41.7592566,12.3006178,Basso,Basso,,0,,False,False
Lupercale,,41.888056,12.484444,Basso,Medio,,0,,False,False
Kaulon,,38.446354,16.57791,Basso,Medio,,0,,False,False
Abella,,40.95897,14.589359,Basso,Elevato,,0,,False,False
giacimenti fossiliferi di Bolca,,45.595277777778,11.21,Basso,Elevato,,0,,False,False
Domus dei tappeti di pietra,,44.418987,12.194545,Medio,Elevato,,0,,False,False
Orologio di Augusto,,41.900555555556,12.478611111111,Basso,Medio,,0,,False,False
Villa dei Papiri,,40.806666666667,14.345555555556,Basso,Elevato,,0,,False,False
Arco di Augusto,,41.891895,12.485994,Basso,Medio,"Arco di Augusto, Fano",100,Fano,True,False
Abellinum,,40.92212,14.83123,Basso,Elevato,,0,,False,False
tempio di Antonino e Faustina,8224900.0,41.892138888889,12.486688888889,Basso,Medio,"Tempio di Antonino e Faustina, Rom",100,Rom,True,True
Naxos,,37.823989,15.273976,Basso,Elevato,,0,,False,False
Sinuessa,,41.153941536511,13.847624066426,Basso,Basso,,0,,False,False
Tusculum,10376743.0,41.798333333333,12.710833333333,Basso,Elevato,,0,,False,False
"Basilica Cristiana (III,I,4)",,41.753,12.2865,Basso,Basso,,0,,False,False
Tempio di Domu de Orgia,,39.74868719,9.32724239,Basso,Basso,,0,,False,False
area archeologica di San Genesio,,43.693244,10.884318,Basso,Medio,,0,,False,False
Cento Camerelle,,40.79821,14.08409,Basso,Elevato,,0,,False,False
area archeologica di Su Nuraxi,,39.7028565,8.9998843,Basso,Basso,,0,,False,False
Paestum,3171709.0,40.42,15.005555555556,Basso,Basso,,0,,False,False
Lacus Curtius,,41.892345,12.485106,Basso,Medio,,0,,False,False
tomba dei giganti di Barrancu Mannu,,39.09972222,8.76861111,Basso,Basso,,0,,False,False
Domus di Giove e Ganimede,,41.754736,12.288323,Basso,Basso,,0,,False,False
Foro di Augusto,11978578.0,41.894166666667,12.486666666667,Basso,Medio,"Foro di Augusto, Rom",100,Rom,True,True
dolmen di Motorra,,40.30621181,9.57522611,Basso,Basso,,0,,False,False
Aesernia,,41.594348,14.230823,Basso,Elevato,,0,,False,False
Kamarina,8063309.0,36.872287,14.447788,Basso,Medio,,0,,False,False
tumulo di Montefortini,,43.7928,11.0649,Basso,Medio,,0,,False,False
scavi archeologici di Ercolano,3177364.0,40.806111,14.3475,Basso,Elevato,,0,,False,False
Colosseo,6269248.0,41.890277777778,12.492222222222,Basso,Medio,"Colosseo, Rom",100,Rom,True,True
Tempio di Vesta,,41.9667,12.8009,Basso,Medio,"Tempio di Vesta, Tivoli",100,Tivoli,True,True
Umbilicus Urbis Romae,,41.892722,12.484556,Basso,Medio,,0,,False,False
Porta Pia,,41.90930344757,12.501301830685,Basso,Medio,"Porta Pia, Rom",100,Rom,True,True
Tempio di Portuno,11920020.0,41.88926,12.480908,Basso,Medio,,0,,False,False
Tempio della Sibilla,10288744.0,41.9669,12.8009,Basso,Medio,,0,,False,False
Settizonio,,41.885633,12.488719,Basso,Medio,,0,,False,False
Falerii Novi,,42.299534,12.359121,Basso,Medio,,0,,False,False
Foro Romano,6269259.0,41.8922,12.4852,Basso,Medio,,0,,False,False
Domus di Amore e Psiche,,41.754044,12.286057,Basso,Basso,,0,,False,False
nuraghe Antigori,,39.09527778,9.00472222,Basso,Basso,,0,,False,False
necropoli di Montessu,,39.13333333,8.66861111,Basso,Basso,,0,,False,False
Dolmen della Chianca,,41.194099,16.487324,Basso,Elevato,,0,,False,False
Foro di Cesare,,41.894008,12.484936,Basso,Medio,"Foro di Cesare, Rom",100,Rom,True,True
Villa Adriana,7506720.0,41.941944,12.775278,Basso,Elevato,"Villa Adriana, Tivoli",100,Tivoli,True,True
Paedagogium,,41.8877,12.4854,Basso,Medio,,0,,False,False
Tomba François,,42.4174,11.6391,Basso,Medio,,0,,False,False
Colonna Traiana,,41.895833333333,12.484166666667,Basso,Medio,"Colonna Traiana, Rom",100,Rom,True,True
Domus della Fortuna Annonaria,,41.754,12.2905,Basso,Basso,,0,,False,False
Venafrum,,41.48555556,14.03972222,Basso,Elevato,,0,,False,False
abbazia di Fruttuaria,,45.222466,7.782073,Basso,Basso,,0,,False,False
Poggiomarino,6538766.0,40.8,14.55,Basso,Medio,,0,,False,False
Basilica Porcia,,41.89331944,12.48481944,Basso,Medio,,0,,False,False
Terme di Diocleziano,8015092.0,41.90277778,12.49833333,Basso,Medio,,0,,False,False
Acquedotto Appio,,41.887846,12.480973,Basso,Medio,,0,,False,False
Catacombe di Domitilla,,41.85891389,12.50552778,Basso,Medio,,0,,False,False
Tempio del Divo Romolo,,41.891997,12.487397,Basso,Medio,"Tempio del Divo Romolo, Rom",100,Rom,True,True
mura serviane,,41.901666666667,12.501666666667,Basso,Medio,"Mura Serviane, Rom",100,Rom,True,True
Arco di Costantino,8410591.0,41.889828,12.490605,Basso,Medio,"Arco di Costantino, Rom",100,Rom,True,True
basilica di Massenzio,6269253.0,41.891944444444,12.488333333333,Basso,Medio,,0,,False,False
Area archeologica di San Giovenale,,42.22444444,11.99972222,Basso,Medio,,0,,False,False
Tempio di Vesta,10278740.0,41.891707,12.486206,Basso,Medio,"Tempio di Vesta, Tivoli",100,Tivoli,True,True
Lavinium,,41.6531,12.4726,Basso,Medio,,0,,False,False
teatro romano di Trieste,,45.649036,13.770289,Basso,Medio,,0,,False,False
parco archeologico di Sibari,2523123.0,39.716564,16.493696,Basso,Elevato,,0,,False,False
Monte Testaccio,8224820.0,41.875952,12.475694,Basso,Medio,,0,,False,False
Casa di Livia,,41.88930556,12.48562778,Basso,Medio,,0,,False,False
Monte Pruno,8959242.0,40.4118309,15.3628179,Basso,Elevato,,0,,False,False
Tomba dei giganti di Is Concias,,39.25755,9.35975,Basso,Basso,,0,,False,False
tomba dei giganti di Imbertighe,,40.20833333,8.80638889,Basso,Basso,,0,,False,False
Basilica Sempronia,,41.891942,12.484728,Basso,Medio,,0,,False,False
Amiternum,8133994.0,42.400776,13.305769,Basso,Elevato,,0,,False,False
Aula Regia,,41.8891,12.487,Basso,Medio,,0,,False,False
Caere,3178999.0,42.001666666667,12.108333333333,Basso,Basso,,0,,False,False
basilica sotterranea di Porta Maggiore,,41.89114,12.515484,Basso,Medio,"Basilica Sotterranea di Porta Maggiore, Rom",100,Rom,True,True
santuario di Portonaccio,10339082.0,42.02111111,12.39083333,Basso,Basso,"Santuario di Portonaccio, Veio",100,Veio,True,True
Tempio di Apollo,,40.7492,14.4844,Basso,Medio,"Tempio di Apollo, Cumae",100,Cumae,True,False
Clivus Capitolinus,,41.8925,12.4838,Basso,Medio,,0,,False,False
Luni sul Mignone,,42.225791666667,11.933022222222,Basso,Medio,,0,,False,False
Suessula,,40.98985278,14.39816944,Basso,Elevato,,0,,False,False
Acquarossa,,42.48333333,12.13333333,Basso,Medio,,0,,False,False
Clivus Argentarius,,41.89365556,12.48450556,Basso,Medio,,0,,False,False
Luceria,,44.608967,10.411804,Basso,Elevato,,0,,False,False
Lucus Feroniae,,42.128323,12.596635,Basso,Medio,,0,,False,False
Area Archeologica di Cortona,,43.260214,11.973653,Basso,Elevato,,0,,False,False
Castello Barbarossa,,40.555911,14.226819,Basso,Basso,,0,,False,False
Sassi di Matera,10629174.0,40.6667,16.6083,Basso,Elevato,,0,,False,False
Tempio di Matidia,,41.89955,12.47799,Basso,Medio,,0,,False,False
complesso nuragico di Tamuli,,40.26083333,8.71777778,Basso,Basso,,0,,False,False
Capua,,41.086242,14.250357,Basso,Medio,,0,,False,False
Tempio di Traiano,,41.89555556,12.48583333,Basso,Medio,,0,,False,False
Anfiteatro romano di Catania,10282013.0,37.507361,15.085417,Basso,Elevato,,0,,False,False
Terina,,38.944865,16.238922,Basso,Elevato,,0,,False,False
fonte sacra Su Tempiesu,,40.41138889,9.41305556,Basso,Basso,,0,,False,False
Nomentum,,42.033728,12.6444485,Basso,Medio,,0,,False,False
Labirinto di Porsenna,,43.0153,11.9486,Basso,Medio,,0,,False,False
Grotta Guattari,,41.23134613,13.09321404,Basso,Basso,,0,,False,False
Terme del Faro,,41.7528,12.2904,Basso,Basso,,0,,False,False
Venusia,,40.961051,15.818321,Basso,Elevato,,0,,False,False
Villa di Diomede,,40.7523864,14.4787071,Basso,Medio,"Villa di Diomede, Pompeji",100,Pompeji,True,True
Corfinium,11153691.0,42.11739,13.835249,Basso,Elevato,,0,,False,False
tomba dei giganti di S'Ena e Thomes,,40.37902,9.51533,Basso,Basso,,0,,False,False
Tempio di Iside al Campo Marzio,,41.89721,12.4791,Basso,Medio,,0,,False,False
Criptoportico forense,,45.7379,7.31733,Basso,Medio,,0,,False,False
Complesso di S'Arcu 'e Is Forros,,40.00245,9.400644,Basso,Basso,,0,,False,False
Parco della Preistoria,,45.4736,9.49972,Medio,Basso,,0,,False,False
Tempio di Venere Genitrice,,41.894194444444,12.484805555556,Basso,Medio,"Tempio di Venere Genitrice, Rom",100,Rom,True,True
Emporium,,41.880649,12.473724,Basso,Medio,,0,,False,False
Cromlech del Piccolo San Bernardo,,45.680406,6.883931,Basso,Medio,,0,,False,False
Ripoli,,42.82611111,13.89,Basso,Elevato,,0,,False,False
Aveia,,42.3,13.48972222,Basso,Elevato,,0,,False,False
Porticus Aemilia,,41.880111111111,12.473611111111,Basso,Medio,,0,,False,False
Drepanon,,38.015,12.5125,Basso,Basso,,0,,False,False
Vetulonia,,42.8625,10.975,Basso,Basso,,0,,False,False
abbazia di San Vincenzo al Volturno,11594011.0,41.62874,14.091198,Basso,Elevato,"Abbazia di San Vincenzo al Volturno, Castel San Vincenzo",100,Castel San Vincenzo,True,True
Cività di Tricarico,,40.6375988,16.0588417,Basso,Elevato,,0,,False,False
Gonfienti,,43.8556,11.1325,Elevato,Medio,,0,,False,False
complesso nuragico di Seruci,,39.24916667,8.42444444,Basso,Basso,,0,,False,False
Castrum Novum,,42.0371178,11.8338331,Basso,Basso,,0,,False,False
Tomba del Triclinio,,42.24875,11.7716,Basso,Medio,,0,,False,False
Area archeologica di Fiesole,,43.808005555556,11.293927777778,Basso,Medio,,0,,False,False
Domus dei Coiedii,,43.62508,12.98491,Basso,Elevato,,0,,False,False
Tempio di Bellona,,41.89241,12.47989,Basso,Medio,,0,,False,False
Bithia,,38.89583333,8.88527778,Basso,Basso,,0,,False,False
Villa di Massenzio,8015042.0,41.855474242484,12.519411878046,Basso,Elevato,,0,,False,False
villaggio nuragico di S'Urbale,,40.08444444,9.11,Basso,Basso,,0,,False,False
Arco di Tiberio,,41.892339,12.484253,Basso,Medio,"Arco di Tiberio, Pompeji",100,Pompeji,True,False
tomba degli Auguri,,42.23818,11.79473,Basso,Basso,,0,,False,False
Area sacra di Sant’Omobono,8015152.0,41.89062,12.48126,Basso,Medio,,0,,False,False
anfiteatro romano di Lucera,,41.508256,15.344853,Basso,Elevato,,0,,False,False
Clivus Scauri,,41.8864,12.4915,Basso,Medio,,0,,False,False
Roselle,3168944.0,42.827179501921,11.159305804001,Basso,Basso,,0,,False,False
