site_name,geonames_id,latitude,longitude,Rischio_Alluvione,Rischio_Terremoto,artresearch_match,match_score,match_place,documentato,documentato_realmente
Tabularium,,41.892777777778,12.483611111111,Basso,Medio,"Tabularium, Rom",100,Rom,True,True
Anfiteatro campano,,41.08611111,14.25,Basso,Medio,"Anfiteatro Campano, Santa Maria Capua Vetere",100,Santa Maria Capua Vetere,True,True
Luna,3174455.0,44.064,10.017,Elevato,Medio,,0,,False,False
Tempio di Giove Ottimo Massimo,,41.892175,12.481689,Basso,Medio,,0,,False,False
Cloaca Massima,,41.888888888889,12.480277777778,Basso,Medio,,0,,False,False
Foro di Nerva,,41.89305,12.48617,Basso,Medio,,0,,False,False
Nuceria,,40.743128,14.673929,Medio,Medio,,0,,False,False
Domus Flavia,,41.8885,12.4869,Basso,Medio,"Domus Flavia, Rom",100,Rom,True,True
Arena di Verona,7303230.0,45.438888888889,10.994444444444,Basso,Elevato,,0,,False,False
Arco di Giano,11978582.0,41.889444,12.482778,Basso,Medio,"Arco di Giano, Rom",100,Rom,True,True
circo romano di Milano,,45.465134,9.17899,Basso,Basso,,0,,False,False
Hykkara,,38.130911,13.183937,Basso,Elevato,,0,,False,False
Tempio di Adriano,8015140.0,41.899722222222,12.479444444444,Basso,Medio,,0,,False,False
Aqua Alsietina,,41.88656,12.469321,Basso,Medio,,0,,False,False
Villa Settefinestre,,42.43059444,11.32675556,Basso,Basso,,0,,False,False
Tomba della Pellegrina,,43.029025,11.9506143,Basso,Medio,,0,,False,False
Valle dei Templi,7522495.0,37.311188,13.576956,Basso,Basso,,0,,False,False
Tempio del Divo Claudio,,41.88795,12.49311,Basso,Medio,,0,,False,False
Tomba di Stile Orientalizzante,,43.030781,11.952567,Basso,Medio,,0,,False,False
Tiscali,,40.241618,9.491576,Basso,Basso,,0,,False,False
Canne,,41.296388888889,16.151666666667,Basso,Elevato,,0,,False,False
Scavi archeologici dell'agro pompeiano,,40.761389,14.471389,Basso,Elevato,,0,,False,False
Argos Hippium,,41.475654,15.555444,Basso,Medio,,0,,False,False
Anfiteatro castrense,8015086.0,41.8875,12.515,Basso,Medio,"Anfiteatro Castrense, Rom",100,Rom,True,True
Basilica Giulia,6269257.0,41.89195,12.48478,Basso,Medio,,0,,False,False
necropoli di Anghelu Ruju,,40.6325,8.32666667,Basso,Basso,,0,,False,False
Tempio di Antas,,39.394051,8.5002369,Basso,Basso,,0,,False,False
basilica Emilia,6269254.0,41.89259,12.48614,Basso,Medio,,0,,False,False
Anfiteatro Flavio,,40.825869,14.125078,Basso,Elevato,"Anfiteatro Flavio, Pozzuoli",100,Pozzuoli,True,True
Rostri,6269256.0,41.892638888889,12.484611111111,Basso,Medio,,0,,False,False
Tharros,2522937.0,39.8734381,8.4410191,Basso,Basso,,0,,False,False
Ferento,,42.48861111,12.1325,Basso,Medio,,0,,False,False
Terme di Caracalla,8015033.0,41.880264,12.492764,Basso,Medio,"Terme di Caracalla, Rom",100,Rom,True,True
Veio,7910549.0,42.023888888889,12.401388888889,Basso,Basso,,0,,False,False
acquedotto Claudio,,41.8490622,12.5541753,Basso,Elevato,,0,,False,False
Ara Pacis,6269265.0,41.906388888889,12.475555555556,Basso,Medio,"Ara Pacis, Rom",100,Rom,True,True
Acquedotto alessandrino,,41.90817,12.504491,Basso,Medio,,0,,False,False
Acquedotto Traiano,,41.8886,12.4641,Basso,Medio,,0,,False,False
tempio di Poseidone,,40.47377778,17.233,Basso,Basso,,0,,False,False
Villa del Casale,7287817.0,37.364723,14.334553,Basso,Medio,,0,,False,False
Pithecusa,,40.75555556,13.88316667,Basso,Elevato,,0,,False,False
Tempio di Marte Ultore,,41.894283,12.486844,Basso,Medio,,0,,False,False
Acquedotto Anio vetus,,41.898212,12.509286,Basso,Medio,,0,,False,False
circo di Nerone,,41.901666666667,12.455277777778,Basso,Medio,,0,,False,False
Eretum,,42.135169,12.738336,Basso,Medio,,0,,False,False
catacombe di Roma,,41.894444444444,12.498333333333,Basso,Medio,,0,,False,False
Egnazia,3177430.0,40.887799,17.391103,Basso,Basso,,0,,False,False
Teatro di Marcello,6269263.0,41.891911,12.479483,Basso,Medio,"Teatro di Marcello, Rom",100,Rom,True,True
Arco di Tito,6269250.0,41.890717,12.488585,Basso,Medio,"Arco di Tito, Rom",100,Rom,True,True
Sepolcro di Gaio Publicio Bibulo,,41.89486389,12.48150833,Basso,Medio,,0,,False,False
Terme di Caracalla,,41.7284473,12.6578489,Basso,Elevato,"Terme di Caracalla, Rom",100,Rom,True,True
Terme Taurine,,42.1095,11.83591944,Basso,Basso,,0,,False,False
Villa romana della Foce,,43.808209,7.759464,Elevato,Elevato,,0,,False,False
Villa dei Sette Bassi,,41.8426981,12.5760694,Basso,Elevato,,0,,False,False
Tempio della Fortuna Augusta,,40.750682,14.484351,Basso,Medio,"Tempio della Fortuna Augusta, Pompeji",100,Pompeji,True,True
Tempio di Efesto,,37.292933,13.578758,Basso,Basso,,0,,False,False
Villa di Faragola,,41.228267,15.559854,Basso,Elevato,,0,,False,False
Tempio di Giove Statore,,41.8931,12.4795,Basso,Medio,,0,,False,False
Terme dell'Indirizzo,,37.50093889,15.08566667,Basso,Elevato,,0,,False,False
tempio di Giunone,,37.2886,13.6002,Basso,Basso,,0,,False,False
Triclinium Leoninum,,41.887,12.50725,Basso,Medio,,0,,False,False
Tempio dei Dioscuri,,37.291358,13.581378,Basso,Basso,"Tempio dei Dioscuri, Agrigent",100,Agrigent,True,True
Villa di Domiziano,,41.26845,13.03933,Basso,Basso,,0,,False,False
Terme Eleniane,,41.88922222,12.51466111,Basso,Medio,,0,,False,False
sepolcro dei Sempronii,,41.89979444,12.48545,Basso,Medio,,0,,False,False
Satrianum,,40.567002971369,15.639582668924,Basso,Elevato,,0,,False,False
teatro romano di Locri,,38.21618056,16.22863611,Basso,Elevato,,0,,False,False
terme romane di Fondi,,41.35739,13.42925,Basso,Basso,,0,,False,False
Tempio di Venere Ericina,,41.90997778,12.49650556,Basso,Medio,,0,,False,False
Vereto,,39.838614,18.3270192,Basso,Basso,,0,,False,False
Silvium,,40.8196,16.3998,Basso,Medio,,0,,False,False
teatro romano di Torino,11127301.0,45.07397222,7.68551389,Basso,Basso,,0,,False,False
Tempio di Giove,,42.4109,11.28654444,Basso,Basso,"Tempio di Giove, Cumae",100,Cumae,True,False
Tempio di Atena,,37.0596,15.2937,Basso,Elevato,,0,,False,False
Scavi archeologici di Palazzo Martinengo Cesaresco Novarino,,45.539258,10.22545,Basso,Elevato,,0,,False,False
Teatro romano di Milano,,45.46527778,9.18277778,Basso,Basso,,0,,False,False
Teatro Piccolo di Pompei,,40.748854,14.488987,Basso,Medio,,0,,False,False
Tempio L,,37.291025,13.581416,Basso,Basso,,0,,False,False
Tempio italico,11839530.0,42.102117,13.755884,Basso,Elevato,"Tempio Italico, Paestum di Capaccio",100,Paestum di Capaccio,True,False
Tempio di Giove Appennino,,43.417222222222,12.656111111111,Basso,Elevato,,0,,False,False
Tombe preistoriche dell'Arco di Augusto,,41.89194444,12.48611111,Basso,Medio,,0,,False,False
Tempio F,,37.5873,12.8349,Basso,Elevato,,0,,False,False
Tempio di Giove Anxur,,41.291639,13.259863,Basso,Basso,"Tempio di Giove Anxur, Terracina",100,Terracina,True,True
Tempio di Iside,,43.769375,11.25808333,Medio,Medio,,0,,False,False
