site_uri,site_name,latitude,longitude,geonames_id
http://www.wikidata.org/entity/Q1098370,Arco di Claudio,41.89931667,12.48109722,
http://www.wikidata.org/entity/Q1130478,Perusia,43.1117,12.3906,
http://www.wikidata.org/entity/Q1054755,Porta Palatina,45.075,7.6847,6697891
http://www.wikidata.org/entity/Q927222,Tempio di Augusto,41.8916,12.4844,
http://www.wikidata.org/entity/Q1137496,Neapolis,39.68722222,8.55333333,
http://www.wikidata.org/entity/Q1084264,Scolacium,38.817212,16.597035,
http://www.wikidata.org/entity/Q951442,Calatia,41.044283,14.356247,
http://www.wikidata.org/entity/Q898417,Liternum,40.921094,14.030128,
http://www.wikidata.org/entity/Q931172,Vulci,42.419129,11.628128,3163940
http://www.wikidata.org/entity/Q1046582,casa dell'Ara Massima,40.752692,14.484786,
http://www.wikidata.org/entity/Q1018282,Pyxous,40.074251,15.523918,
http://www.wikidata.org/entity/Q1092967,Circo Flaminio,41.8927578,12.4774218,
http://www.wikidata.org/entity/Q1107952,Arco di Druso,41.873794,12.501406,8015036
http://www.wikidata.org/entity/Q1027069,catacombe di San Callisto,41.85887778,12.51105833,
http://www.wikidata.org/entity/Q964096,Tomba del Colle Casuccini,43.01726324162,11.962778201321,
http://www.wikidata.org/entity/Q1175491,Cripta del Redentore,40.46388889,17.26305556,
http://www.wikidata.org/entity/Q1052137,Ca' Belvedere,44.2017,11.95,
http://www.wikidata.org/entity/Q994358,nuraghe Genna Maria,39.6354395,8.85326385,
http://www.wikidata.org/entity/Q1012797,Ostia,41.754166666667,12.2875,3171796
http://www.wikidata.org/entity/Q1054877,Cereatae,41.67111111,13.48722222,
http://www.wikidata.org/entity/Q1054423,Suasa,43.625555555556,12.984444444444,6535609
http://www.wikidata.org/entity/Q1143005,Cuccuru Nuraxi,39.28615052,9.17675972,
http://www.wikidata.org/entity/Q1046559,Casa dei dipinti,41.755036,12.287999,
http://www.wikidata.org/entity/Q980425,anfiteatro romano di Suasa,43.625,12.987222,
http://www.wikidata.org/entity/Q1058770,Metaponto,40.383126,16.822782,7289453
http://www.wikidata.org/entity/Q944515,Alba Fucens,42.079059725959,13.411468116683,8410805
http://www.wikidata.org/entity/Q1144512,Curia Hostilia,41.893055555556,12.485277777778,6269258
http://www.wikidata.org/entity/Q1144514,Curia Iulia,41.892930555556,12.485402777778,6269258
http://www.wikidata.org/entity/Q1035634,carcere Mamertino,41.893333333333,12.484444444444,
http://www.wikidata.org/entity/Q1114895,comizio,41.892777777778,12.485,
http://www.wikidata.org/entity/Q1145802,Ara massima di Ercole invitto,41.8889,12.4811,
http://www.wikidata.org/entity/Q1049884,Castro,42.532777777778,11.648611111111,
http://www.wikidata.org/entity/Q1046550,casa dei Cei,40.750032,14.489398,
http://www.wikidata.org/entity/Q1160855,Trebula Balliensis,41.2,14.25,
http://www.wikidata.org/entity/Q949654,Tomba dei Tori,42.24,11.7944,
http://www.wikidata.org/entity/Q1055805,Catacombe dei Santi Marcellino e Pietro,41.87902778,12.54908333,
http://www.wikidata.org/entity/Q1139946,Horti Liciniani,41.892944,12.508833,
http://www.wikidata.org/entity/Q1116623,Bisenzio,42.574066666667,11.874766666667,
http://www.wikidata.org/entity/Q1116395,Stipe votiva di piazza San Francesco,37.50255,15.08464722,
http://www.wikidata.org/entity/Q1049836,Castra Praetoria,41.908798668981,12.507940792131,
http://www.wikidata.org/entity/Q952753,Casilinum,41.1094,14.2091,
http://www.wikidata.org/entity/Q971697,mura di Roselle,42.8271,11.1593,
http://www.wikidata.org/entity/Q1031652,domus de janas Campu Lontanu,40.59083333,8.63527778,
http://www.wikidata.org/entity/Q477728,Thapsos,37.15,15.23333333,
http://www.wikidata.org/entity/Q636793,parco archeologico di Monte Sannace,40.8325,16.96555556,
http://www.wikidata.org/entity/Q599035,Terme di Traiano,41.891867,12.496281,8015118
http://www.wikidata.org/entity/Q625149,Mura aureliane,41.873292,12.498955,
http://www.wikidata.org/entity/Q392878,Piazzale delle Corporazioni,41.7564,12.2911,
http://www.wikidata.org/entity/Q725404,piramide Cestia,41.876489,12.480898,
http://www.wikidata.org/entity/Q622943,Acqua Marcia,41.8468009,12.563348,
http://www.wikidata.org/entity/Q672752,Saepta Iulia,41.8983,12.478,
http://www.wikidata.org/entity/Q750837,grotta del Romito,39.911111111111,15.929166666667,
http://www.wikidata.org/entity/Q649559,Peltuinum,42.286929,13.62261,11153680
http://www.wikidata.org/entity/Q622536,Tres Tabernae,41.561944444444,12.873888888889,
http://www.wikidata.org/entity/Q639179,Villa di Livia,42.00208,12.493622,
http://www.wikidata.org/entity/Q588204,Terme di Costantino,41.89843,12.4879,
http://www.wikidata.org/entity/Q600690,Teatro romano di Catania,37.502778,15.083611,
http://www.wikidata.org/entity/Q657102,Atella,40.95999,14.25935,
http://www.wikidata.org/entity/Q726619,Stentinello,37.11388889,15.24055556,
http://www.wikidata.org/entity/Q499234,Villa del Tellaro,36.83555556,15.07861111,
http://www.wikidata.org/entity/Q542944,Villa di Poppea,40.75722222,14.4525,
http://www.wikidata.org/entity/Q614510,Gabii,41.886888888889,12.715833333333,3176443
http://www.wikidata.org/entity/Q478642,Mercati di Traiano,41.895611,12.486194,
http://www.wikidata.org/entity/Q631432,Solunto,38.09305556,13.53138889,2523057
http://www.wikidata.org/entity/Q677175,area archeologica di Nora,38.985737,9.016026,8199395
http://www.wikidata.org/entity/Q611318,Medma,38.4825,15.99055556,
http://www.wikidata.org/entity/Q383609,Tempio della Magna Mater,41.88961,12.48456,
http://www.wikidata.org/entity/Q546547,Cosa,42.410919,11.286503,3177932
http://www.wikidata.org/entity/Q441542,Altino,45.54638889,12.39888889,3219030
http://www.wikidata.org/entity/Q548608,aquedotto Anio novus,41.846,12.561,
http://www.wikidata.org/entity/Q518832,Terme di Agrippa,41.896906,12.476997,
http://www.wikidata.org/entity/Q476787,Aqua Iulia,41.896963,12.510719,
http://www.wikidata.org/entity/Q453634,Tempio di Nettuno,40.42,15.005611111111,
http://www.wikidata.org/entity/Q555272,Poggio Civitate,43.1556,11.3994,
http://www.wikidata.org/entity/Q743694,Bovillae,41.7575,12.6217,
http://www.wikidata.org/entity/Q533922,Ostra antica,43.584722222222,13.086111111111,
http://www.wikidata.org/entity/Q530591,Trebula Mutuesca,42.22767,12.86865,
http://www.wikidata.org/entity/Q547910,Stabia,40.703055555556,14.498888888889,3179661
http://www.wikidata.org/entity/Q622438,Domus Aurea,41.891388888889,12.495277777778,7303192
http://www.wikidata.org/entity/Q622948,Aqua Tepula,41.900135,12.50868,
http://www.wikidata.org/entity/Q568342,Tabularium,41.892777777778,12.483611111111,
http://www.wikidata.org/entity/Q474970,Anfiteatro campano,41.08611111,14.25,
http://www.wikidata.org/entity/Q579763,Luna,44.064,10.017,3174455
http://www.wikidata.org/entity/Q586468,Tempio di Giove Ottimo Massimo,41.892175,12.481689,
http://www.wikidata.org/entity/Q746102,Cloaca Massima,41.888888888889,12.480277777778,
http://www.wikidata.org/entity/Q686911,Foro di Nerva,41.89305,12.48617,
http://www.wikidata.org/entity/Q470839,Nuceria,40.743128,14.673929,
http://www.wikidata.org/entity/Q529806,Domus Flavia,41.8885,12.4869,
http://www.wikidata.org/entity/Q641556,Arena di Verona,45.438888888889,10.994444444444,7303230
http://www.wikidata.org/entity/Q580555,Arco di Giano,41.889444,12.482778,11978582
http://www.wikidata.org/entity/Q545495,circo romano di Milano,45.465134,9.17899,
http://www.wikidata.org/entity/Q728102,Hykkara,38.130911,13.183937,
http://www.wikidata.org/entity/Q431062,Tempio di Adriano,41.899722222222,12.479444444444,8015140
http://www.wikidata.org/entity/Q536769,Aqua Alsietina,41.88656,12.469321,
http://www.wikidata.org/entity/Q736618,Villa Settefinestre,42.43059444,11.32675556,
http://www.wikidata.org/entity/Q546479,Tomba della Pellegrina,43.029025,11.9506143,
http://www.wikidata.org/entity/Q636774,Valle dei Templi,37.311188,13.576956,7522495
http://www.wikidata.org/entity/Q523765,Tempio del Divo Claudio,41.88795,12.49311,
http://www.wikidata.org/entity/Q678198,Tomba di Stile Orientalizzante,43.030781,11.952567,
http://www.wikidata.org/entity/Q648870,Tiscali,40.241618,9.491576,
http://www.wikidata.org/entity/Q568611,Canne,41.296388888889,16.151666666667,
http://www.wikidata.org/entity/Q682404,Scavi archeologici dell'agro pompeiano,40.761389,14.471389,
http://www.wikidata.org/entity/Q698864,Argos Hippium,41.475654,15.555444,
http://www.wikidata.org/entity/Q475012,Anfiteatro castrense,41.8875,12.515,8015086
http://www.wikidata.org/entity/Q616271,Basilica Giulia,41.89195,12.48478,6269257
http://www.wikidata.org/entity/Q539095,necropoli di Anghelu Ruju,40.6325,8.32666667,
http://www.wikidata.org/entity/Q689104,Tempio di Antas,39.394051,8.5002369,
http://www.wikidata.org/entity/Q522924,basilica Emilia,41.89259,12.48614,6269254
http://www.wikidata.org/entity/Q662766,Anfiteatro Flavio,40.825869,14.125078,
http://www.wikidata.org/entity/Q426372,Rostri,41.892638888889,12.484611111111,6269256
http://www.wikidata.org/entity/Q736689,Tharros,39.8734381,8.4410191,2522937
http://www.wikidata.org/entity/Q597347,Ferento,42.48861111,12.1325,
http://www.wikidata.org/entity/Q502098,Terme di Caracalla,41.880264,12.492764,8015033
http://www.wikidata.org/entity/Q677935,Veio,42.023888888889,12.401388888889,7910549
http://www.wikidata.org/entity/Q622930,acquedotto Claudio,41.8490622,12.5541753,
http://www.wikidata.org/entity/Q623612,Ara Pacis,41.906388888889,12.475555555556,6269265
http://www.wikidata.org/entity/Q622909,Acquedotto alessandrino,41.90817,12.504491,
http://www.wikidata.org/entity/Q622956,Acquedotto Traiano,41.8886,12.4641,
http://www.wikidata.org/entity/Q476876,tempio di Poseidone,40.47377778,17.233,
http://www.wikidata.org/entity/Q505617,Villa del Casale,37.364723,14.334553,7287817
http://www.wikidata.org/entity/Q650428,Pithecusa,40.75555556,13.88316667,
http://www.wikidata.org/entity/Q679665,Tempio di Marte Ultore,41.894283,12.486844,
http://www.wikidata.org/entity/Q548614,Acquedotto Anio vetus,41.898212,12.509286,
http://www.wikidata.org/entity/Q676074,circo di Nerone,41.901666666667,12.455277777778,
http://www.wikidata.org/entity/Q548867,Eretum,42.135169,12.738336,
http://www.wikidata.org/entity/Q741051,catacombe di Roma,41.894444444444,12.498333333333,
http://www.wikidata.org/entity/Q732732,Egnazia,40.887799,17.391103,3177430
http://www.wikidata.org/entity/Q659138,Teatro di Marcello,41.891911,12.479483,6269263
http://www.wikidata.org/entity/Q723887,Arco di Tito,41.890717,12.488585,6269250
http://www.wikidata.org/entity/Q3955650,Sepolcro di Gaio Publicio Bibulo,41.89486389,12.48150833,
http://www.wikidata.org/entity/Q3984396,Terme di Caracalla,41.7284473,12.6578489,
http://www.wikidata.org/entity/Q3984387,Terme Taurine,42.1095,11.83591944,
http://www.wikidata.org/entity/Q4012300,Villa romana della Foce,43.808209,7.759464,
http://www.wikidata.org/entity/Q4012682,Villa dei Sette Bassi,41.8426981,12.5760694,
http://www.wikidata.org/entity/Q3983204,Tempio della Fortuna Augusta,40.750682,14.484351,
http://www.wikidata.org/entity/Q3983240,Tempio di Efesto,37.292933,13.578758,
http://www.wikidata.org/entity/Q4012731,Villa di Faragola,41.228267,15.559854,
http://www.wikidata.org/entity/Q3983259,Tempio di Giove Statore,41.8931,12.4795,
http://www.wikidata.org/entity/Q3984389,Terme dell'Indirizzo,37.50093889,15.08566667,
http://www.wikidata.org/entity/Q3983262,tempio di Giunone,37.2886,13.6002,
http://www.wikidata.org/entity/Q3998716,Triclinium Leoninum,41.887,12.50725,
